# id,name,mesonet,lat,lon,elevation,agl,cit,state,country,active
SLIDE,SLIDE MOUNTAIN                   NV US DRI,utmesnet,39.307220458984375,-119.8838882446289,2941.300048828125,-9999.0,null,null,null,true
C0493,CW0493 Gresham                    OR US,APRSWXNET,45.49633026123047,-122.427001953125,96.0,-9999.0,null,null,null,true
SDAM8,SODA SPRINGS                     MT US,RAWS,45.72890090942383,-108.39669799804688,1225.300048828125,-9999.0,null,null,null,true
MNRW3,Monroe - STH 11 @ STH 69,widotroad,42.61687469482422,-89.63713836669922,327.875,-9999.0,null,null,null,true
ADKA2,Adak Island, AK,NOS-NWLON,51.862998962402344,-176.6320037841797,0.0,-9999.0,null,null,null,true
SMI,SMITHFIELD                       UT US CAMPBELL,utmesnet,41.83769989013672,-111.81590270996094,1450.9000244140625,-9999.0,null,null,null,true
KPTN6,Kings Point, NY,nosports,40.810001373291016,-73.76499938964844,0.0,-9999.0,null,null,null,true
TS732,SHAWNEE                          OH US,RAWS,38.69499969482422,-83.1968994140625,325.5,-9999.0,null,null,null,true
TS730,SOCORRO PORTABLE #2              NM US,RAWS,33.94219970703125,-107.0718994140625,1991.300048828125,-9999.0,null,null,null,true
JOFN1,JOHNSON FARM                     NE US SCAN,utmesnet,40.369998931884766,-101.72000122070312,1018.2999877929688,-9999.0,null,null,null,true
TS737,LAKE WOODRUFF                    FL US,RAWS,29.09939956665039,-81.36689758300781,18.299999237060547,-9999.0,null,null,null,true
SMT,SOUTH MOUNTAIN                   UT US TOOELE,utmesnet,40.45973205566406,-112.40999603271484,1829.0999755859375,-9999.0,null,null,null,true
KMAW,MALDEN                           MO US MODOT,NonFedAWOS,36.60049819946289,-89.99215698242188,89.9000015258789,-9999.0,null,null,null,true
BLK,Blackfoot (MVMS),arlfrd,43.18986511230469,-112.33329772949219,1377.699951171875,-9999.0,null,null,null,true
C0465,CW0465 Sherman                    CT US,APRSWXNET,41.577049255371094,-73.4732666015625,208.0,-9999.0,null,null,null,true
C1795,CW1795 Powell                     WY US,APRSWXNET,44.75846862792969,-108.77680206298828,1337.0,-9999.0,null,null,null,true
C0464,CW0464 Tehachapi                  CA US,APRSWXNET,35.1505012512207,-118.51667022705078,1280.0,-9999.0,null,null,null,true
C1793,CW1793 Castle Rock                CO US,APRSWXNET,39.39466857910156,-104.80549621582031,1981.199951171875,-9999.0,null,null,null,true
C1792,CW1792 Saratoga                   CA US,APRSWXNET,37.27471160888672,-122.02294921875,114.30000305175781,-9999.0,null,null,null,true
SND,SUNDANCE - ARROWHEAD             UT US AVALANCHE,utmesnet,40.368499755859375,-111.59339904785156,2514.89990234375,-9999.0,null,null,null,true
SNC,PARK CITY MUN G.C.               UT US SNOWNET,utmesnet,40.65999984741211,-111.51490020751953,2089.39990234375,-9999.0,null,null,null,true
BLU,Blue Dome,arlfrd7,44.07489776611328,-112.84207916259766,1731.300048828125,-9999.0,null,null,null,true
C1799,CW1799 Colorado Springs           CO US,APRSWXNET,38.92583084106445,-104.76866912841797,2026.9000244140625,-9999.0,null,null,null,true
C0467,CW0467 Duxbury                    MA US,APRSWXNET,42.04814910888672,-70.69035339355469,20.0,-9999.0,null,null,null,true
C1798,CW1798 Logan Village                 AU,APRSWXNET,-27.760000228881836,153.14300537109375,17.0,-9999.0,null,null,null,true
SNI,SNOWBASIN-MID. BOWL              UT US SNOWNET,utmesnet,41.199501037597656,-111.85900115966797,2256.10009765625,-9999.0,null,null,null,true
NCLO3,NEW CRESCENT LAKE                OR US SNOTEL,utmesnet,43.5099983215332,-121.9800033569336,1463.0,-9999.0,null,null,null,true
SNM,SUNDANCE - MID MNT               UT US AVALANCHE,utmesnet,40.3739013671875,-111.59400177001953,2286.89990234375,-9999.0,null,null,null,true
MDDW4,MIDDLE POWDER                    WY US SNOTEL,utmesnet,43.630001068115234,-107.18000030517578,2365.300048828125,-9999.0,null,null,null,true
